"id","code","description","status","version"
"1","0111","Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas.","1","3"
"2","0010","Asalariados","1","3"
"3","0081","Personas Naturales sin Actividad Económica","1","3"
"4","0082","Personas Naturales Subsidiadas por Terceros","1","3"
"5","0090","Rentistas de Capital, solo para personas naturales.","1","3"
"6","0112","Cultivo de arroz.","1","3"
"7","0113","Cultivo de hortalizas, raíces y tubérculos.","1","3"
"8","0114","Cultivo de tabaco.","1","3"
"9","0115","Cultivo de plantas textiles.","1","3"
"10","0119","Otros cultivos transitorios n.c.p.","1","3"
"11","0121","Cultivo de frutas tropicales y subtropicales.","1","3"
"12","0122","Cultivo de plátano y banano.","1","3"
"13","0123","Cultivo de café.","1","3"
"14","0124","Cultivo de caña de azúcar.","1","3"
"15","0125","Cultivo de flor de corte.","1","3"
"16","0126","Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos.","1","3"
"17","0127","Cultivo de plantas con las que se preparan bebidas.","1","3"
"18","0128","Cultivo de especias y de plantas aromáticas y medicinales.","1","3"
"19","0129","Otros cultivos permanentes n.c.p.","1","3"
"20","0130","Propagación de plantas (actividades de los viveros, excepto viveros forestales).","1","3"
"21","0141","Cría de ganado bovino y bufalino.","1","3"
"22","0142","Cría de caballos y otros equinos.","1","3"
"23","0143","Cría de ovejas y cabras.","1","3"
"24","0144","Cría de ganado porcino.","1","3"
"25","0145","Cría de aves de corral.","1","3"
"26","0149","Cría de otros animales n.c.p.","1","3"
"27","0150","Explotación mixta (agrícola y pecuaria).","1","3"
"28","0161","Actividades de apoyo a la agricultura.","1","3"
"29","0162","Actividades de apoyo a la ganadería.","1","3"
"30","0163","Actividades posteriores a la cosecha.","1","3"
"31","0164","Tratamiento de semillas para propagación.","1","3"
"32","0170","Caza ordinaria y mediante trampas y actividades de servicios conexas.","1","3"
"33","0210","Silvicultura y otras actividades forestales.","1","3"
"34","0220","Extracción de madera.","1","3"
"35","0230","Recolección de productos forestales diferentes a la madera.","1","3"
"36","0240","Servicios de apoyo a la silvicultura.","1","3"
"37","0311","Pesca marítima.","1","3"
"38","0312","Pesca de agua dulce.","1","3"
"39","0321","Acuicultura marítima.","1","3"
"40","0322","Acuicultura de agua dulce.","1","3"
"41","0510","Extracción de hulla (carbón de piedra).","1","3"
"42","0520","Extracción de carbón lignito.","1","3"
"43","0610","Extracción de petróleo crudo.","1","3"
"44","0620","Extracción de gas natural.","1","3"
"45","0710","Extracción de minerales de hierro.","1","3"
"46","0721","Extracción de minerales de uranio y de torio.","1","3"
"47","0722","Extracción de oro y otros metales preciosos.","1","3"
"48","0723","Extracción de minerales de níquel.","1","3"
"49","0729","Extracción de otros minerales metalíferos no ferrosos n.c.p.","1","3"
"50","0811","Extracción de piedra, arena, arcillas comunes, yeso y anhidrita.","1","3"
"51","0812","Extracción de arcillas de uso industrial, caliza, caolín y bentonitas.","1","3"
"52","0820","Extracción de esmeraldas, piedras preciosas y semipreciosas.","1","3"
"53","0891","Extracción de minerales para la fabricación de abonos y productos químicos.","1","3"
"54","0892","Extracción de halita (sal).","1","3"
"55","0899","Extracción de otros minerales no metálicos n.c.p.","1","3"
"56","0910","Actividades de apoyo para la extracción de petróleo y de gas natural.","1","3"
"57","0990","Actividades de apoyo para otras actividades de explotación de minas y canteras.","1","3"
"58","1011","Procesamiento y conservación de carne y productos cárnicos.","1","3"
"59","1012","Procesamiento y conservación de pescados, crustáceos y moluscos.","1","3"
"60","1020","Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos.","1","3"
"61","1030","Elaboración de aceites y grasas de origen vegetal y animal.","1","3"
"62","1040","Elaboración de productos lácteos.","1","3"
"63","1051","Elaboración de productos de molinería.","1","3"
"64","1052","Elaboración de almidones y productos derivados del almidón.","1","3"
"65","1061","Trilla de café.","1","3"
"66","1062","Descafeinado, tostión y molienda del café.","1","3"
"67","1063","Otros derivados del café.","1","3"
"68","1071","Elaboración y refinación de azúcar.","1","3"
"69","1072","Elaboración de panela.","1","3"
"70","1081","Elaboración de productos de panadería.","1","3"
"71","1082","Elaboración de cacao, chocolate y productos de confitería.","1","3"
"72","1083","Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares.","1","3"
"73","1084","Elaboración de comidas y platos preparados.","1","3"
"74","1089","Elaboración de otros productos alimenticios n.c.p.","1","3"
"75","1090","Elaboración de alimentos preparados para animales.","1","3"
"76","1101","Destilación, rectificación y mezcla de bebidas alcohólicas.","1","3"
"77","1102","Elaboración de bebidas fermentadas no destiladas.","1","3"
"78","1103","Producción de malta, elaboración de cervezas y otras bebidas malteadas.","1","3"
"79","1104","Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas.","1","3"
"80","1200","Elaboración de productos de tabaco.","1","3"
"81","1311","Preparación e hilatura de fibras textiles.","1","3"
"82","1312","Tejeduría de productos textiles.","1","3"
"83","1313","Acabado de productos textiles.","1","3"
"84","1391","Fabricación de tejidos de punto y ganchillo.","1","3"
"85","1392","Confección de artículos con materiales textiles, excepto prendas de vestir.","1","3"
"86","1393","Fabricación de tapetes y alfombras para pisos.","1","3"
"87","1394","Fabricación de cuerdas, cordeles, cables, bramantes y redes.","1","3"
"88","1399","Fabricación de otros artículos textiles n.c.p.","1","3"
"89","1410","Confección de prendas de vestir, excepto prendas de piel.","1","3"
"90","1420","Fabricación de artículos de piel.","1","3"
"91","1430","Fabricación de artículos de punto y ganchillo.","1","3"
"92","1511","Curtido y recurtido de cueros; recurtido y teñido de pieles.","1","3"
"93","1512","Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería.","1","3"
"94","1513","Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales.","1","3"
"95","1521","Fabricación de calzado de cuero y piel, con cualquier tipo de suela.","1","3"
"96","1522","Fabricación de otros tipos de calzado, excepto calzado de cuero y piel.","1","3"
"97","1523","Fabricación de partes del calzado.","1","3"
"98","1610","Aserrado, acepillado e impregnación de la madera.","1","3"
"99","1620","Fabricación de hojas de madera para enchapado; fabricación de tableros contra­chapados, tableros laminados, tableros de partículas y otros tableros y paneles.","1","3"
"100","1630","Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción.","1","3"
"101","1640","Fabricación de recipientes de madera.","1","3"
"102","1690","Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería.","1","3"
"103","1701","Fabricación de pulpas (pastas) celulósicas; papel y cartón.","1","3"
"104","1702","Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón.","1","3"
"105","1709","Fabricación de otros artículos de papel y cartón.","1","3"
"106","1811","Actividades de impresión.","1","3"
"107","1812","Actividades de servicios relacionados con la impresión.","1","3"
"108","1820","Producción de copias a partir de grabaciones originales.","1","3"
"109","1910","Fabricación de productos de hornos de coque.","1","3"
"110","1921","Fabricación de productos de la refinación del petróleo.","1","3"
"111","1922","Actividad de mezcla de combustibles.","1","3"
"112","2011","Fabricación de sustancias y productos químicos básicos.","1","3"
"113","2012","Fabricación de abonos y compuestos inorgánicos nitrogenados.","1","3"
"114","2013","Fabricación de plásticos en formas primarias.","1","3"
"115","2014","Fabricación de caucho sintético en formas primarias.","1","3"
"116","2021","Fabricación de plaguicidas y otros productos químicos de uso agropecuario.","1","3"
"117","2022","Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas.","1","3"
"118","2023","Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador.","1","3"
"119","2029","Fabricación de otros productos químicos n.c.p.","1","3"
"120","2030","Fabricación de fibras sintéticas y artificiales.","1","3"
"121","2100","Fabricación de productos farmacéuticos, sustancias químicas medicinales y pro­ductos botánicos de uso farmacéutico.","1","3"
"122","2211","Fabricación de llantas y neumáticos de caucho","1","3"
"123","2212","Reencauche de llantas usadas","1","3"
"124","2219","Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.","1","3"
"125","2221","Fabricación de formas básicas de plástico.","1","3"
"126","2229","Fabricación de artículos de plástico n.c.p.","1","3"
"127","2310","Fabricación de vidrio y productos de vidrio.","1","3"
"128","2391","Fabricación de productos refractarios.","1","3"
