"DPTO","MPIO","CODIGO_DE_LA_ARL","AÑO_DE_INFORME","MES_DE_INFORME","ACTIVEC","RELA_DEP","RELA_INDEP","PRESUACCIDETRASUCE","MUERTES_REPOR_AT","NUEVAPENSIOINVA_R_AT","NUEVAPENSIOINVA_R_EL","INCAPERMAPARCIAR_AT","INCAPERMAPARCIAR_EL"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1131201","27","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1131202","10","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1139301","0","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1141001","772","26","1","1","1","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1454101","306","4","2","2","2","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1454201","39","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1461001","54","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1461002","44","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1462001","47","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1462002","66","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1462003","10","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1463101","292","0","1","1","1","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1463102","13","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1464101","227","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1464201","261","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1464301","100","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1464401","83","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1464402","1","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1464501","246","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1464502","79","0","1","1","1","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1464901","29","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1465101","145","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1465901","9","2","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1466101","13","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1466301","25","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1466401","55","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1466901","51","1","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1469001","493","2","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1471101","1,738","1","1","1","1","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1471102","26","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1471901","1,262","0","1","1","1","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1472201","524","0","3","3","3","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1472301","68","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1472401","94","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1472402","21","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1472901","115","0","1","1","1","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1472902","108","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1473201","39","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1474101","399","1","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1474201","170","2","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1475101","459","1","1","1","1","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1475201","291","1","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1475202","75","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1475301","189","3","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1475401","44","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1475501","32","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1475901","1,210","3","2","2","2","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1475902","11","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1476101","484","4","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1476201","21","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1476901","14","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1477101","1,512","1","2","2","2","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1477201","483","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1477301","1,019","0","4","4","4","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1477401","134","1","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1477402","451","0","0","0","0","0","0","0"
"ANTIOQUIA","MEDELLIN","1423","2026","6","1477501","160","0","0","0","0","0","0","0"
